Catagory ,Tool ,Location ,Training Required?,Service/Cost ,Academic level ,Who can use this space?,Notes,Software,Website
Waterjet,ProtoMax,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes,
Pre-req: Wilson center basics 1 and 2 pass ",None,Any,Anyone but COE is prioritized ,"Materials: Acrylic, Polycarbonate, Aluminum, 
Carbon/Alloy/Stainless Steel, Brass, Glass, Wood and more

Tolerance:  ±0.009
Bed: 12""x12""
Max thickness: 1""","Free dowloadable:
https://www.omax.com/libraries/omax/download/",https://teamprojects.engin.umich.edu/home/training/#robotics
Fiber laser,Fablight 4500,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes,
Pre-req: Complete and pass Wilson Center 
basics 1 and either FRB or Wilson Center basics 2
",None,Any,Anyone but COE is prioritized ,"Materials: 6061 Aluminum, 7072 Aluminum, Brass, Copper


Tolerance:  ±0.005
Bed: 24""x48""
Max thickness: Aluminum .125"", Copper .040"", Brass .0625""

At this time, we no longer allow stainless steel to be cut on this machine",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Co2 laser,Universal systems PLS60.150D,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes,
Pre-req: Complete and pass Wilson Center 
basics 1 and either FRB or Wilson Center basics 2
",None,Any,Anyone but COE is prioritized ,"Materials: Acrylic, Glass (etch), Wood, Ceramic (etch), Acetate, 
Cardboard, Paper and more

Tolerance:  ±0.007
Bed: 18""x32""x6""
Max thickness: Varies by material 
Operating Modes: Optimized raster, vector or combined
Resolution: User controlled from 75 to 1200 dpi",None,https://teamprojects.engin.umich.edu/home/training/#robotics
3D printing,Ender 3 V2 FDM Printer,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109",No,"x4 open access printers OR 
Prints can be submitted through 
through the digital submission form 
found on website",Any,Anyone but COE is prioritized ,"Materials: PLA

Tolerance:  ±0.054mm
Bed: 220x220x250mm
Print speed: 180mm/s

Open access printers are first come first serve. Submitted prints
are run in order recieved. See submission form for more info.","Free downloadable:
https://ultimaker.com/software/ultimaker-cura/",https://teamprojects.engin.umich.edu/home/training/#robotics
3D printing,Formlabs Form 3 SLA Printer,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109",No,"Free of charge until 1000ml is used 
Per person/group/team/lab

Prints can be submitted through 
the digital submission form 
found on website",Any,Anyone but COE is prioritized ,"Materials: SLA resin (makerspace provides grey)

Tolerance:  ± 0.2%
Bed: 14.5cm×14.5cm×19.3cm
Print speed: Varies

Printers are not availible to the student body, parts must be 
submitted prints through the makerspace's digital submission system. 
Parts are run in order recieved. See submission form for more info.

Prints are always solid unless designed to be hollow","Free downloadable:
https://formlabs.com/software/preform/",https://teamprojects.engin.umich.edu/home/training/#robotics
3D printing,Formlabs FUSE 1 SLS Printer,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109",No,"

Free of charge until 1kg is used
Per person/group/team/lab

Prints can be submitted through 
the digital submission form 
found on website",Any,Anyone but COE is prioritized ,"Materials: SLS Nylon 12 

Tolerance:  ± 0.3%
Bed: 16.5cm×16.5cm×30.0cm
Print speed: Varies

Printers are not availible to the student body, parts must be 
submitted prints through the makerspace's digital submission system. 
Parts are run in order recieved. See submission form for more info.

Prints are always solid unless designed to be hollow","Free downloadable:
https://formlabs.com/software/preform/",https://teamprojects.engin.umich.edu/home/training/#robotics
Mills,Bridgeport 3 axis mill ,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes, 
Pre-req: Wilson center basics 1 and 2 pass

Wilson Center mill training required
Wilson center ""Operator"" status or mentor present 
required",None,Any ,Anyone but COE is prioritized ,"Working area: 12""x32""x10""

Spindle speed range low: 60 - 500 RPM
Spindle speed range high: 500 - 4200 RPM
X-Axis Table Travel: 36"" (914mm)
Y-Axis Table Travel: 12"" (306mm)
Knee Travel: 16"" (406mm)
Quill Travel: 5"" (127mm)
Throat Distance: Min. 6.75"" (171mm)/ Max. 18.75"" (476mm)

Tolerance:  ±0.005 (depending on skill level)",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Lathe,Harrison 600 group M300 lathe,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes, 
Pre-req: Wilson center basics 1 and 2 pass

Wilson Center lathe training required
Wilson center ""Operator"" status or mentor present 
required",None,Any ,Anyone but COE is prioritized ,"Working area: 12""x32""x10""

Min. Spd: 40rpm
Max Spd: 2500rpm

Tolerance:  ±0.005 (depending on skill level)",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Saws,Bosch chop saw,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes,
Pre-req: Wilson center basics 1 and 2 pass 

Must take Wilson center 3 saw training ",None,Any ,Anyone but COE is prioritized ,"Blade dia: 8-1/2 in
Bevel Angle Range: 2° Left to 47° Right
Max. Cut Depth: @ 0 Deg. Bevel 2""
Max. Cut Depth: @ 45 Deg. Bevel 2""
Miter Angle Range:52° Left to 60° Right
Max. Blade Speed: 5,600 RPM

Material application: Wood",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Saws,Dayton mini band saw,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes,
Pre-req: Wilson center basics 1 and 2 pass ",None,Any ,Anyone but COE is prioritized ,"Rectangular Cutting Capacity: Horizontal 4"" x 9.5""
Throat Depth: Vertical 9.5""
Miter Angle Range: 0°- 45°
Blade thickness: .025""

Material Application: Wood, plastic, 16g aluminum",None,https://teamprojects.engin.umich.edu/home/training/#robotics
